Coccidioides posadasii CPA 0020	490068		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_CPA_0020	coccPosa_CPA_0020
Coccidioides posadasii CPA 0066	490069		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_CPA_0066	coccPosa_CPA_0066
Coccidioides posadasii RMSCC 1037	490065		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_RMSCC_1037	coccPosa_RMSCC_1037
Coccidioides posadasii RMSCC 1038	490066		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_RMSCC_1038	coccPosa_RMSCC_1038
Coccidioides posadasii RMSCC 2133	469470		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_RMSCC_2133	coccPosa_RMSCC_2133
Coccidioides posadasii RMSCC 3488	454284		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_RMSCC_3488	coccPosa_RMSCC_3488
Coccidioides posadasii RMSCC 3700	469471		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_RMSCC_3700	coccPosa_RMSCC_3700
Coccidioides posadasii str. Silveira	443226		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_Silveira	coccPosa_SILVEIRA
Colletotrichum graminicola M1.001	645133		Colletotrichum graminicola	Colletotrichum	Glomerellaceae	Glomerellales	Hypocreomycetidae	Sordariomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Coll_gram_M1_001	collGram_M1_001
Colletotrichum orbiculare MAFF 240422	1213857		Colletotrichum orbiculare	Colletotrichum	Glomerellaceae	Glomerellales	Hypocreomycetidae	Sordariomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Coll_orbi_MAFF_240422	collOrbi_MAFF_240422
Coniophora puteana RWD-64-598 SS2	741705		Coniophora puteana	Coniophora	Coniophoraceae	Boletales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Coni_pute_RWD_64_598_SS2	coniPute_RWD_64_598_SS2
Cordyceps militaris CM01	983644		Cordyceps militaris	Cordyceps	Cordycipitaceae	Hypocreales	Hypocreomycetidae	Sordariomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cord_mili_CM01	cordMili_CM01
Cronartium comandrae C4	1301515		Cronartium comandrae	Cronartium	Cronartiaceae	Pucciniales		Pucciniomycetes	Pucciniomycotina	Basidiomycota	Dikarya	Fungi	Cron_coma_C4	cronComa_C4
Cronartium quercuum f. sp. banksianae CqE3WM	1301520		Cronartium quercuum	Cronartium	Cronartiaceae	Pucciniales		Pucciniomycetes	Pucciniomycotina	Basidiomycota	Dikarya	Fungi	Cron_quer_f_banksianae_CqE3WM	cronQuer_F_SP_BANKSIANAE_CQE3W
Cronartium ribicola 11-2	1301521		Cronartium ribicola	Cronartium	Cronartiaceae	Pucciniales		Pucciniomycetes	Pucciniomycotina	Basidiomycota	Dikarya	Fungi	Cron_ribi_11_2	cronRibi_11_2
Kwoniella bestiolae CBS 10118	1296100		Kwoniella bestiolae	Kwoniella	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_best_CBS_10118	crypBest_CBS_10118
Kwoniella dejecticola CBS 10117	1296121		Kwoniella dejecticola	Kwoniella	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_deje_CBS_10117	crypDeje_CBS_10117
Cryptococcus gattii VGII 2001/935-1	1334442		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_2001_935_1	crypGatt_2001_935_1
Cryptococcus gattii VGII 99/473	1296104		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_99_473	crypGatt_99_473
Cryptococcus gattii VGII CA1014	1296107		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_CA1014	crypGatt_CA1014
Cryptococcus gattii CA1280	1296109		Cryptococcus gattii VGIII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_CA1280	crypGatt_CA1280
Cryptococcus gattii CA1873	1296111		Cryptococcus gattii VGIII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_CA1873	crypGatt_CA1873
Cryptococcus gattii VGII CBS 10090	1296101		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_CBS_10090	crypGatt_CBS_10090
Cryptococcus gattii VGII CBS 7750	1385412		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_CBS_7750	crypGatt_CBS_7750
Cryptococcus gattii E566	1296102		Cryptococcus gattii VGI	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_E566	crypGatt_E566
Cryptococcus gattii EJB2	1296103		Cryptococcus gattii VGI	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_EJB2	crypGatt_EJB2
Cryptococcus gattii VGIV IND107	1296105		Cryptococcus gattii VGIV	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_IND107	crypGatt_IND107
Cryptococcus gattii VGII LA55	1296106		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_LA55	crypGatt_LA55
Cryptococcus gattii VGII MMRL2647	1296117		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_MMRL2647	crypGatt_MMRL2647
Cryptococcus gattii NT-10	1296108		Cryptococcus gattii VGI	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_NT_10	crypGatt_NT_10
Cryptococcus gattii VGIII	552467		Cryptococcus gattii VGIII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_R265	crypGatt_R265
Cryptococcus gattii VGII Ram5	1296110		Cryptococcus gattii VGII	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_Ram5	crypGatt_RAM5
Cryptococcus gattii Ru294	1296112		Cryptococcus gattii VGI	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_Ru294	crypGatt_RU294
Cryptococcus gattii WM276	367775		Cryptococcus gattii VGI	Cryptococcus	Cryptococcaceae	Tremellales		Tremellomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Cryp_gatt_WM276	crypGatt_WM276
